Date,Open,High,Low,Close,Adj Close,Volume
2020-01-02,139.11000061035156,139.85000610351562,137.52000427246094,138.69000244140625,137.94354248046875,976500
2020-01-03,136.52999877929688,137.6300048828125,135.57000732421875,136.72000122070312,135.984130859375,746600
2020-01-06,136.0399932861328,138.1699981689453,135.22000122070312,138.16000366210938,137.41639709472656,1225200
2020-01-07,137.02000427246094,137.8800048828125,135.8000030517578,137.85000610351562,137.10806274414062,681100
2020-01-08,138.0,140.74000549316406,137.35000610351562,140.55999755859375,139.80348205566406,845600
2020-01-09,140.6300048828125,142.02999877929688,140.0,141.3000030517578,140.53948974609375,802900
2020-01-10,144.52000427246094,145.4199981689453,143.25,143.80999755859375,143.03598022460938,1157500
2020-01-13,143.52999877929688,144.97000122070312,142.3800048828125,143.64999389648438,142.8768310546875,936900
2020-01-14,148.49000549316406,151.3300018310547,147.9600067138672,150.6699981689453,149.8590545654297,2318600
2020-01-15,150.67999267578125,155.92999267578125,150.33999633789062,154.02999877929688,153.2009735107422,1385800
2020-01-16,154.99000549316406,156.32000732421875,153.94000244140625,156.25999450683594,155.41896057128906,921500
2020-01-17,156.8000030517578,156.97000122070312,155.0399932861328,156.3300018310547,155.48858642578125,1687000
2020-01-21,155.8000030517578,156.11000061035156,154.24000549316406,155.27000427246094,154.43431091308594,1267000
2020-01-22,155.6699981689453,156.4499969482422,154.5399932861328,155.74000549316406,154.90176391601562,1681700
2020-01-23,155.1699981689453,155.4600067138672,152.5399932861328,155.11000061035156,154.27516174316406,1137500
2020-01-24,155.5,155.5,149.55999755859375,152.6199951171875,151.79855346679688,1135900
2020-01-27,149.94000244140625,151.3000030517578,148.83999633789062,150.6300048828125,149.81927490234375,1200700
2020-01-28,151.11000061035156,153.55999755859375,150.80999755859375,152.1199951171875,151.30123901367188,699700
2020-01-29,152.32000732421875,152.8699951171875,149.27000427246094,149.33999633789062,148.53622436523438,1129000
2020-01-30,148.5,149.60000610351562,144.74000549316406,147.1999969482422,146.40773010253906,1330600
2020-01-31,146.8699951171875,147.1199951171875,141.91000366210938,142.61000061035156,141.84243774414062,1473800
